charging_station_name,city,state,zipcode,street_address
"Ashburn, VA Supercharger",VA,20148,43300 Southern Walk Plaza,Ashburn
"Chantilly, VA Supercharger",VA,20152,25451 Lizzio Center Drive,South Riding
"Charlottesville, VA Supercharger",Vi,rgina 22901-0000,2100 Hydraulic Road,Charlottesville
Chester Supercharger,VA,23831,11701 Jefferson Davis Highway,Chester
"Fairfax, VA (coming soon)",VA,No zipcode,No address given,Fairfax
"Falls Church, VA (coming soon)",VA,No zipcode,No address given,Falls Church
"Farmville, VA - S Main Street Supercharger",VA,23901,2016 S Main Street,Farmville
"Fredericksburg, VA Supercharger",VA,22407,10060 Jefferson Davis Highway,Fredericksburg
"Glen Allen, VA Supercharger",VA,23059,9950 Brook Rd,Glen Allen
"Haymarket, VA",VA,20169,15315 Washington Street,Haymarket
"King George, VA (coming soon)",VA,No zipcode,No address given,King George
"Leesburg, VA Supercharger",VA,20737,"1602 Village Market Boulevard, Southeast",Leesburg
Lexington Supercharger #2,VA,24450,880 N Lee Hwy,Lexington
"Lynchburg, VA Supercharger",VA,24501,14480 Wards Road,Lynchburg
"Madison, VA Supercharger",VA,22707,2902 South Seminole Trail,Madison
"Mt. Jackson, VA Supercharger",VA,22842,227 Conicville Rd,Mt. Jackson
"Newport News, VA",VA,23602,12300 Jefferson Avenue,Newport News
Norfolk Supercharger,VA,23502,5900 E Virginia Beach Blvd,Norfolk
"Reston, VA Supercharger",VA,20190,1886 Metro Center Drive,Reston
"Richmond, VA Supercharger",VA,23231-0000,4441 S Laburnum Ave,Richmond
"Salem, VA Supercharger",VA,24153,1340 West Main St,Salem
"South Hill, VA Supercharger",VA,23970,1791 North Mecklenburg Avenue,South Hill
"Springfield, VA Supercharger",VA,22150,500 Springfield Mall,Springfield
"Staunton, VA Supercharger",VA,24402,1250 Richmond Avenue,Staunton
Strasburg Supercharger,VA,22657,119 Hite Lane,Strasburg
"Tysons, VA (coming soon)",VA,No zipcode,No address given,Tysons
"Vienna, VA Supercharger",VA,22180,465 Maple Avenue,Vienna
"Virginia Beach, VA (coming soon)",VA,No zipcode,No address given,Virginia Beach
"Williamsburg, VA (coming soon)",VA,No zipcode,No address given,Williamsburg
Woodbridge Supercharger,VA,22192,2700 Potomac Mills Circle,Woodbridge
Wytheville Supercharger,VA,24382,165 Malin Drive,Wytheville
Aberdeen Supercharger #2,WA,98520-4133,416 Wishkah Street,Aberdeen
"Arlington, WA Supercharger",WA,No zipcode,3438 Stoluckquamish Lane,Arlington
"Auburn, WA Supercharger",WA,98001,1101 Outlet Collection Way,Auburn
"Bellevue, WA (coming soon)",WA,No zipcode,No address given,Bellevue
"Blaine, WA Supercharger",WA,98230,8115 Birch Bay Square,Blaine
"Bothell, WA Supercharger",WA,98011,19128 112th Avenue NE,Bothell
"Burlington, WA Supercharger",WA,98233,9384 Old Highway 99 North,Burlington
Centralia Supercharger,WA,98531,1200 Lum Rd,Centralia
"Chelan, WA (coming soon)",WA,No zipcode,No address given,Chelan
"Cle Elum, WA Supercharger",WA,98922,811 WA-970,Cle Elum
Ellensburg Supercharger,WA,98926,1620 Canyon Rd,Ellensburg
"Enumclaw, WA (coming soon)",WA,No zipcode,No address given,Enumclaw
"Forks, WA Supercharger",WA,98331,100 Fern Hill Road,Forks
"Issaquah, WA Supercharger",WA,98029,6100 East Lake Sammamish Parkway SE,Issaquah
"Kelso, WA Supercharger",WA,98626,207 Three Rivers Drive,Kelso
Kennewick Supercharger,WA,99336,2811 West 10th Ave,Kennewick
"Kirkland, WA - Totem Lake (coming soon)",WA,No zipcode,No address given,Kirkland
"Lacey, WA Supercharger",WA,98503,665 Sleater Kinney Road SE,Lacey
"Leavenworth, WA Supercharger",WA,98826,1329 US-2,Leavenworth
"Lynnwood, WA Supercharger",WA,98087,2902 164th Street SW,Lynnwood
"Monroe, WA Supercharger",WA,No zipcode,18805 US-2,Monroe
"Moses Lake, WA Supercharger",WA,98837,2709 West Broadway Avenue,Moses Lake
"North Bend, WA Supercharger",WA,98045,46600 SE North Bend Way,North Bend
"Okanogan, WA (coming soon)",WA,No zipcode,No address given,Okanogan
"Olympia, WA (coming soon)",WA,No zipcode,No address given,Olympia
Ritzville Supercharger,WA,99169,105 W Galbreath Way,Ritzville
"Seattle, WA - Northgate (coming soon)",WA,No zipcode,No address given,Seattle
"Seattle, WA - Union Street Supercharger",WA,98101,601 Union Street,Seattle
"Seattle, WA - University Village (coming soon)",WA,No zipcode,No address given,Seattle
Sequim Supercharger,WA,98382-3503,1441 E Washington Street,Sequim
"Spokane, WA Supercharger",WA,99224,10506 West Aero Road,Spokane
"Tacoma, WA (coming soon)",WA,No zipcode,No address given,Tacoma
"Tumwater, WA Supercharger",WA,98512,2430 93rd Avenue Southwest,Tumwater
"Vancouver, WA - NE Vancouver Mall Drive Supercharger",WA,98662,8700 NE Vancouver Mall Drive,Vancouver
"Vancouver, WA Supercharger",WA,98685-2832,800 NE Tenney Road,Vancouver
"Yakima, WA (coming soon)",WA,No zipcode,No address given,Yakima
"Charleston, WV Supercharger",WV,25301,2 Kanawha Boulevard E,Charleston
"Huntington, WV Supercharger",WV,25704-1509,432 18th Street West,Huntington
"Martinsburg, WV Supercharger",WV,25401,1465  Edwin Miller Blvd,Martinsburg
Morgantown Supercharger,WV,26508-1324,21 Asturias Lane,Morgantown
"Mt. Hope, WV Supercharger",WV,25880,5481 Robert C. Byrd Drive,Mt. Hope
"Parkersburg, WV Supercharger",WV,26101,1102 7th Street,Parkersburg
"Triadelphia, WV Supercharger",WV,26059,35 Bob Wise Drive,Triadelphia
"Weston, WV Supercharger",WV,26452-8367,39 Berlin Road,Weston
"Eau Claire, WI Supercharger",WI,54701,4601 Keystone Crossing,Eau Claire
"Howard, WI Supercharger",Wi,sconsin 54303-2606,2015 Shawano Avenue,Howard
La Crosse Supercharger,WI,54650,2845 Midwest Dr,Onalaska
"Lake Geneva, WI Supercharger",WI,53147,7036 Grand Geneva Way,Lake Geneva
"Madison, WI (West) (coming soon)",WI,No zipcode,No address given,Madison
"Madison, WI - E. Washington Ave. Supercharger",WI,53704,3801 E. Washington Ave,Madison
"Madison, WI – East Towne Mall Supercharger",WI,53704,89 East Towne Mall,Madison
"Mauston, WI Supercharger",WI,53948,640 McEvoy St,Mauston
"Milwaukee, WI (coming soon)",WI,No zipcode,No address given,Milwaukee
"Oak Creek, WI Supercharger",WI,53154-6801,171 West Town Square Way,Oak Creek
"Oshkosh, WI Supercharger",WI,54904-7776,2415 Westowne Avenue,Oshkosh
"Pleasant Prairie, WI Supercharger",WI,53158,11211 120th Ave,Pleasant Prairie
Sheboygan Supercharger,WI,53081,595 S Taylor Drive,Sheboygan
"Sturgeon Bay, WI (coming soon)",WI,No zipcode,No address given,Sturgeon Bay
"Waukesha, WI (coming soon)",WI,No zipcode,No address given,Waukesha
"Wausau, WI - North Mountain Rd Supercharger",WI,54401-8117,2101 North Mountain Rd,Wausau
"Cheyenne, WY Supercharger",WY,82009,1400 Dell Range Blvd.,Cheyenne
"Cody, WY (coming soon)",WY,No zipcode,No address given,Cody
Evanston Supercharger,WY,82930-3094,101 Wasatch Rd,Evanston
"Evansville, WY Supercharger",WY,82636,6985 Nugget Street,Evansville
Gillette Supercharger,WY,82716,211 Decker Court,Gillette
Jackson Supercharger,WY,83001,1155 US-89,Jackson
"Laramie, WY Supercharger",WY,82070-8417,1673 Centennial Drive,Laramie
"Lusk, WY Supercharger",WY,82225,730 S Main St,Lusk
Rawlins Supercharger,WY,82301-6026,2370 E Cedar St.,Rawlins
Rock Springs Supercharger,No state,82901-5659,2441 Foothill Blvd,Rock Springs
Sheridan Supercharger,WY,82801,612 North Main Street,Sheridan
"Wheatland, WY Supercharger",WY,82201-8927,1556 Sherard Road,Wheatland
