charging_station_name,city,state,zipcode,street_address
"Pinole, CA (coming soon)",CA,No zipcode,No address given,Pinole
"Pismo Beach, CA Supercharger",CA,93449,333 5 Cities Drive,Pismo Beach
"Placerville, CA Supercharger",CA,95667,1216-1252 Broadway,Placerville
"Playa Vista, CA - West Jefferson Blvd Supercharger",CA,90094,12746 W Jefferson Blvd,Playa Vista
"Pleasanton, CA Supercharger",CA,94588,6000 Johnson Drive,Pleasanton
"Pomona, CA (coming soon)",CA,No zipcode,No address given,Pomona
Rancho Cucamonga Supercharger,CA,91739,12642 Cultural Center Dr.,Rancho Cucamonga
"Rancho Mirage, CA	Supercharger",CA,92270,71800 CA-111,Rancho Mirage
"Red Bluff, CA Supercharger",CA,96080,82 Belle Mill Road,Red Bluff
Redondo Beach Supercharger,CA,90278,2410 Marine Avenue,Redondo Beach
"Richmond, CA - Pierce Street Supercharger",CA,94804,3288 Pierce St,Richmond
"Richmond, CA Supercharger",CA,94804,2157 Meeker Avenue,Richmond
"Riverside, CA - Canyon Springs Parkway Supercharger",CA,92507,2755 Canyon Springs Parkway,Riverside
"Riverside, CA Supercharger",No state,92501,3370 9th St,Riverside
"Rohnert Park, CA Supercharger",CA,94928,475 Rohnert Park Expressway,Rohnert Park
"Roseville, CA - Galleria Boulevard Supercharger",CA,95678,1120 Galleria Boulevard,Roseville
"Roseville, CA Supercharger",CA,95678,1151 Galleria Blvd,Roseville
"Rowland Heights, CA Supercharger",CA,91748,No address given,Rowland Heights
"Sacramento, CA - Arden Way Supercharger",CA,95815,1689 Arden Way,Sacramento
"Sacramento, CA - Freeport Boulevard Supercharger",CA,95822,4700 Freeport Blvd,Sacramento
"Sacramento, CA Supercharger",CA,95834-0000,3668 N. Freeway Blvd,Sacramento
Sacramento-Rocklin,CA,95677,4361 Granite Drive,Rocklin
"Salinas, CA Supercharger",CA,93906-5102,1606 North Main Street,Salinas
"San Bernardino, CA Supercharger",CA,92408,500 Inland Center Drive,San Bernardino
"San Bruno, CA (coming soon)",CA,No zipcode,No address given,San Bruno
"San Carlos, CA Supercharger",CA,94070,1127 Industrial Road,San Carlos
"San Clemente, CA - Avenida Vista Hermosa Supercharger",CA,92673,990 Avenida Vista Hermosa,San Clemente
"San Clemente, CA Supercharger",CA,92672-7706,101 West Avenida Vista Hermosa,San Clemente
San Diego Supercharger,CA,92121,10155 Pacific Heights Blvd,San Diego
"San Diego, CA - A Street Supercharger",CA,92101,1350 6th Avenue,San Diego
"San Diego, CA - Camino Del Sur Supercharger",CA,92127,17170 Camino Del Sur,San Diego
"San Diego, CA - Del Mar Heights Road Supercharger",CA,92014,3275 Del Mar Heights Road,San Diego
"San Diego, CA - Friars Road Supercharger",CA,92108,7007 Friars Road,San Diego
"San Diego, CA - La Jolla (coming soon)",CA,No zipcode,No address given,San Diego
"San Dimas, CA (coming soon)",CA,No zipcode,No address given,San Dimas
"San Francisco, CA - Financial District (coming soon)",CA,No zipcode,No address given,San Francisco
"San Francisco, CA - Letterman Drive Supercharger",CA,San Francisco,1 Letterman Drive,94129
"San Francisco, CA - Mission (coming soon)",CA,No zipcode,No address given,San Francisco
"San Francisco, CA - SOMA (coming soon)",CA,No zipcode,No address given,San Francisco
"San Francisco, CA Supercharger",CA,94102,601 Van Ness Avenue,San Francisco
"San Gabriel, CA (coming soon)",CA,No zipcode,No address given,San Gabriel
"San Jose, CA (West) (coming soon)",CA,No zipcode,No address given,San Jose
"San Jose, CA - Blossom Hill Road Supercharger",CA,95118,1375 Blossom Hill Road,San Jose
"San Jose, CA - Cherry Avenue Supercharger",CA,95118,5160 Cherry Avenue,San Jose
"San Jose, CA - Coleman Avenue Supercharger",CA,95110,533 Coleman Avenue,San Jose
"San Jose, CA - E Capitol Expressway Supercharger",CA,95121,1029 East Capitol Expressway,San Jose
"San Jose, CA - Holger Way Supercharger",CA,95134,95 Holger Way,San Jose
"San Jose, CA - Santana Row Supercharger",CA,95128,330 South Winchester,San Jose
"San Jose, CA - Valet - Santana Row Supercharger",CA,95128,330 South Winchester Santana Row,San Jose
"San Juan Capistrano, CA Supercharger",CA,92675,31971 Camino Capistrano,San Juan Capistrano
"San Luis Obispo, CA Supercharger",CA,93405,100 Madonna Road,San Luis Obispo
San Mateo Supercharger,CA,94403,1200 Park Place,San Mateo
"San Mateo, CA (coming soon)",CA,No zipcode,No address given,San Mateo
"San Mateo, CA - Bridgepointe Pkwy Supercharger",CA,94404-1569,2220 Bridgepointe Pkwy,San Mateo
"San Ramon, CA - Diablo Plaza Supercharger",CA,94583,2415-2505 San Ramon Valley Boulevard,San Ramon
"San Ramon, CA Supercharger",CA,94583,2610 Bishop Drive,San Ramon
"San Ysidro, CA (coming soon)",CA,No zipcode,No address given,San Ysidro
Santa Ana Supercharger,CA,92705-6607,2800 N. Main Street,Santa Ana
"Santa Barbara, CA (coming soon)",CA,No zipcode,No address given,Santa Barbara
"Santa Clara, CA (coming soon)",CA,No zipcode,No address given,Santa Clara
"Santa Clara, CA Supercharger",CA,95054,3945 Rivermark Plaza,Santa Clara
"Santa Clarita, CA Supercharger",CA,91355,24061 Newhall Ranch Road,Valencia
"Santa Cruz, CA Supercharger",CA,95062,911 Soquel Avenue,Santa Cruz
"Santa Monica, CA - Santa Monica Place Supercharger",CA,90401,395 Santa Monica Place,Santa Monica
"Santa Rosa, CA Supercharger",CA,95401,733 Coddingtown Center,Santa Rosa
"Santa Ysabel, CA (coming soon)",CA,No zipcode,No address given,Santa Ysabel
"Scotts Valley, CA, Supercharger",CA,95066,230 Mount Hermon Road,Scott's Valley
"Sherman Oaks, CA (coming soon)",CA,No zipcode,No address given,Sherman Oaks
"Simi Valley, CA - Tierra Rejada Road Supercharger",CA,93065,51 Tierra Rejada Road,Simi Valley
"Soledad, CA (coming soon)",CA,No zipcode,No address given,Soledad
"Sonoma, CA (coming soon)",CA,No zipcode,No address given,Sonoma
"South San Francisco, CA Supercharger",CA,94080,250 Gateway Boulevard,South San Francisco
"Stockton, CA Supercharger",CA,95207,2323 Grand Canal Boulevard,Stockton
"Studio City, CA (coming soon)",CA,No zipcode,No address given,Studio City
"Sunnyvale, CA - W. McKinley Ave Supercharger",No state,94086-6193,298 W. McKinley Ave,Sunnyvale
"Susanville, CA (coming soon)",CA,No zipcode,No address given,Susanville
"Tahoe City, CA Supercharger",CA,96145,140 Lake Boulevard,Tahoe City
Tejon Ranch Supercharger,CA,93243,5602 Dennis McCarthy Dr,Lebec
Temecula Supercharger,CA,92591,40820 Winchester Rd.,Temecula
"Thousand Oaks, CA - East Thousand Oaks Boulevard Supercharger",No state,91362,4000 East Thousand Oaks Boulevard,Thousand Oaks
"Thousand Oaks, CA - West Hillcrest Drive Supercharger",CA,91360,350 West Hillcrest Drive,Thousand Oaks
"Traver, CA (coming soon)",CA,No zipcode,No address given,Traver
Truckee Brockway Road Supercharger,CA,96161,11209 Brockway Road,Truckee
Truckee Donner Pass Supercharger,CA,96161,11290 Donner Pass Rd,Truckee
"Tustin, CA (coming soon)",CA,No zipcode,No address given,Tustin
Twentynine Palms Supercharger,CA,92277-4125,73829 Baseline Road,Twentynine Palms
Ukiah Supercharger,CA,95482,250 W Clay St.,Ukiah
Vacaville Supercharger,CA,95687,321 Nut Tree Road,Vacaville
"Vallejo, CA Supercharger",CA,94591,904 Admiral Callaghan Lane,Vallejo
"Venice, CA (coming soon)",CA,No zipcode,No address given,Venice
